--Full covariance matrices--
GMM components  Minimum DCF  Actual DCF 
       1           0.263       0.664    
       2           0.216       0.615    
       4           0.216       0.426    
       8           0.179       0.289    
      16           0.163       0.279    
      32           0.234       0.418    

--Diagonal covariance matrices--
GMM components  Minimum DCF  Actual DCF 
       1           0.257       0.684    
       2           0.249       0.659    
       4           0.148       0.418    
       8           0.146       0.408    
      16           0.162       0.374    
      32           0.177       0.260    

