--Full covariance matrices--
Components(False)  Components(True)   Minimum DCF  Actual DCF 
        1                  1             0.367       0.390    
        1                  2             0.354       0.385    
        1                  4             0.281       0.310    
        1                  8             0.205       0.227    
        1                 16             0.216       0.254    
        1                 32             0.209       0.263    
        2                  1             0.294       0.302    
        2                  2             0.283       0.291    
        2                  4             0.241       0.272    
        2                  8             0.193       0.217    
        2                 16             0.206       0.246    
        2                 32             0.189       0.226    
        4                  1             0.226       0.251    
        4                  2             0.197       0.239    
        4                  4             0.163       0.208    
        4                  8             0.154       0.169    
        4                 16             0.159       0.169    
        4                 32             0.161       0.171    
        8                  1             0.230       0.260    
        8                  2             0.209       0.260    
        8                  4             0.177       0.244    
        8                  8             0.159       0.197    
        8                 16             0.179       0.217    
        8                 32             0.157       0.178    
        16                 1             0.262       0.284    
        16                 2             0.259       0.297    
        16                 4             0.200       0.251    
        16                 8             0.193       0.228    
        16                16             0.182       0.235    
        16                32             0.189       0.197    
        32                 1             0.319       0.394    
        32                 2             0.299       0.365    
        32                 4             0.253       0.283    
        32                 8             0.227       0.243    
        32                16             0.218       0.251    
        32                32             0.211       0.237    

--Diagonal covariance matrices--
Components(False)  Components(True)   Minimum DCF  Actual DCF 
        1                  1             0.369       0.387    
        1                  2             0.351       0.383    
        1                  4             0.271       0.298    
        1                  8             0.216       0.236    
        1                 16             0.211       0.236    
        1                 32             0.231       0.247    
        2                  1             0.345       0.375    
        2                  2             0.334       0.361    
        2                  4             0.268       0.276    
        2                  8             0.207       0.227    
        2                 16             0.198       0.216    
        2                 32             0.210       0.218    
        4                  1             0.252       0.270    
        4                  2             0.232       0.280    
        4                  4             0.212       0.236    
        4                  8             0.170       0.214    
        4                 16             0.170       0.206    
        4                 32             0.179       0.202    
        8                  1             0.257       0.303    
        8                  2             0.254       0.278    
        8                  4             0.209       0.223    
        8                  8             0.169       0.201    
        8                 16             0.165       0.202    
        8                 32             0.163       0.203    
        16                 1             0.245       0.251    
        16                 2             0.210       0.242    
        16                 4             0.199       0.216    
        16                 8             0.153       0.187    
        16                16             0.170       0.180    
        16                32             0.170       0.186    
        32                 1             0.222       0.237    
        32                 2             0.201       0.219    
        32                 4             0.161       0.199    
        32                 8             0.154       0.190    
        32                16             0.170       0.171    
        32                32             0.156       0.172    

